단어	정의
골짜기	절벽이나 언덕이나 산 사이에 움푹 패어 들어간 지형
구더기	알에서 부화된 지 얼마 안 된 유충으로 썩어 가는 물질에서 발견되는 파리의 애벌레
귀고리	장식용으로 귀에 다는 고리나 기타 장식품으로 코고리에도 쓰인 히브리어 단어와 관련된 물건
나귀	단단한 굽을 가진 말과의 동물로 산악 지형에 적합한 짐바리 짐승
노루	가젤과 비슷하지만 더 작은 동물로 정결 식용으로 허용된 짐승
뇌물	받는 사람에게 영향을 미쳐 부당한 행동을 하게 하려는 목적으로 주는 대가성 금품
담보	꾸어 준 것을 갚겠다는 보증으로 채무자가 채권자에게 제공하는 개인 재산
대리석	입자가 치밀한 결정질 석회암으로 광택이 잘 나는 건축 재료
도끼	날이 있는 머리에 자루를 박아 만든 연장으로 나무나 돌을 자르고 무기로도 쓰임
도둑	남의 물건을 허가 없이 고의로 취하는 사람으로 대개 밤에 몰래 훔치는 자
독뱀	유연관계가 없는 몇 종의 독사를 가리키는 일반적 이름
독사	독니를 가진 독 있는 뱀으로 팔레스타인에 여러 종이 서식함
동물	사람을 제외한 산 영혼으로 히브리어 베헤마는 네발 달린 큰 생물을 가리킴
루비	강옥의 변종으로 투명하고 진한 붉은색의 귀한 보석
마비	몸의 근력이나 감각이 한 곳이나 여러 곳에서 장애가 생기는 질환
망치	물건을 두드리거나 박는 데 쓰이는 연장으로 못과 말뚝을 박거나 석재를 다듬음
멍에	짐을 매달거나 동물의 목에 얹는 나무 가로장으로 비유적으로 속박을 의미함
메뚜기	큰 떼로 이동하는 방아깨비류 곤충으로 성서에서 재앙과 식량으로 언급됨
면도칼	털이나 수염을 깎는 도구로 드러내다를 의미하는 어근에서 유래
모래	자갈보다 작고 실트보다 굵은 입자로 바다의 경계이자 수많음의 상징
목걸이	구슬이나 보석을 줄에 꿰어 목에 거는 장식품으로 고대에 귀중품으로 여겨짐
목욕	물에 담그거나 물을 부어 몸을 깨끗하게 하는 행위로 정결 의식과 관련됨
바늘	한쪽은 뾰족하고 다른 쪽에 귀가 있는 가느다란 용구로 바느질과 수놓기에 사용
바다	육지와 구별되는 물이 괸 곳으로 지구 면적의 70퍼센트 이상을 차지함
바퀴	축을 중심으로 회전하는 둥근 물체로 전차와 맷돌 등에 사용됨
반지	코 귀 손가락에 착용한 고리 형태 장식품으로 인장으로도 사용됨
발꿈치	발 뒤쪽 발목 아랫부분으로 지체시키거나 방해하는 비유로 사용됨
버터	우유를 흔들어 만든 반액체 유제품으로 고대에 귀한 식품이었음
벌레	가늘고 기어 다니는 무른 동물로 주로 곤충 유충을 가리키며 부패를 상징
벽돌	점토나 진흙으로 만든 건축 재료로 바벨 탑 등 고대 건축에 널리 쓰임
병거	바퀴 둘에 말이 이끄는 전투용 수레로 고대 전쟁의 핵심 무기
비늘	물고기와 파충류의 피부 보호 구조로 정한 것과 부정한 것의 구분 기준
