단어	추천 문제 형태
대리석	"그곳에는 아마포와 고운 무명과 청색 천이 고운 직물과 자주색 양모로 짠 줄로 OOO 기둥의 은고리에 매여 있었으며, 금과 은으로 된 침상들이 반암과 OOO과 진주와 검은 OOO이 깔린 바닥에 놓여 있었다"
독뱀	"그러자 여호와께서 백성 가운데 OO를 보내셨는데, 그것들이 백성을 물어 많은 이스라엘 사람이 죽었다" (독사 형태)
독사	"그러자 여호와께서 백성 가운데 OO를 보내셨는데, 그것들이 백성을 물어 많은 이스라엘 사람이 죽었다"
동물	"또 하느님께서 말씀하셨다. “땅은 생물들을 그 종류대로, 가축과 기어 다니는 OO과 땅의 들짐승을 그 종류대로 내어라.” 그러자 그대로 되었다"
루비	"너는 물려 놓은 보석을 거기에 네 줄로 달아야 한다. 첫째 줄은 OO와 황옥과 에메랄드이다"
마비	"아침에 나발이 술에서 깼을 때 그의 아내가 이 일을 말해 주었다. 그러자 그의 심장이 마치 죽은 사람처럼 되니 그가 돌처럼 굳어 OO되었다"
망치	"그러나 헤벨의 아내 야엘은 천막 말뚝과 OO를 손에 들고 와서, 시스라가 지쳐서 깊이 잠들어 있을 때에 살며시 가서 말뚝을 그의 관자놀이에 박았다. 말뚝을 쳐서 땅에 박자, 그가 죽었다"
멍에	"너는 네 칼을 써서 살 것이며, 네 동생을 섬길 것이다. 그러나 네가 견디기 힘들어지면 그의 OO를 네 목에서 꺾어 버릴 것이다."
목걸이	"그의 요청으로 들어온 금코걸이의 무게는 금 1700세겔이었다. 그 밖에도 초승달 모양의 장식과 고리 장식과 미디안 왕들이 입었던 자주색 양모 옷과 낙타 목에서 벗긴 OOO가 있었다"
목욕	"그런데 파라오의 딸이 OO을 하려고 나일 강으로 내려왔고, 그의 시녀들은 나일 강가를 거닐고 있었다. 파라오의 딸은 갈대 사이에 있는 바구니를 보고 즉시 여종을 보내 그것을 가져오게 했다"
바다	"하느님께서 육지를 ‘땅’이라고 부르시고, 모인 물을 ‘OO’라고 부르셨다. 하느님께서 보시기에 좋았다"
바퀴	"그분이 그들의 병거에서 OO가 빠지게 하시므로 그들이 병거를 몰기가 어려웠다. 이집트인들이 말했다. “이스라엘 사람들에게서 도망하자. 여호와가 그들을 위해 이집트인들과 싸우고 있다."
반지	"유다가 “내가 너에게 무슨 담보물을 주면 좋겠느냐?” 하고 묻자 그가 대답했다. “당신의 인장 OO와 끈과 손에 들고 있는 지팡이를 주십시오.” 그래서 유다가 그것들을 그에게 주고 그와 관계를 가졌고, 그가 유다에 의해 임신했다"
버터	"아브라함은 OO와 젖과 그가 준비한 송아지 요리를 가져다가 그들 앞에 음식을 차려 놓았다. 그리고 그들이 먹는 동안 나무 아래서 그들 곁에 서 있었다"
벌레	"그러나 그들은 모세의 말을 듣지 않았다. 어떤 사람들이 그중 일부를 아침까지 남겨 두자, OO가 생기고 악취가 풍겼다. 모세가 그들에게 분노했다"
병거	"그리고 자기에게 있는 두 번째로 영예로운 OO에 그를 태웠으며, 사람들은 그의 앞에서 “아브레크!”라고 외쳤다. 이렇게 하여 파라오는 그에게 이집트 온 땅을 맡겼다"
비늘	"그 위쪽 한가운데에는 구멍이 있어야 한다. 구멍 둘레에는 직조공이 짜서 만든 깃이 있어야 한다. OO 갑옷의 구멍처럼 만들어 찢어지지 않게 해야 한다"
비단	"그 가득한 상품은 금, 은, 보석, 진주, 고운 아마포, 자주색 천, OO, 진홍색 천, 향나무로 만든 모든 것, 상아와 귀한 목재와 구리와 철과 대리석으로 만든 온갖 물품, 13 계피, 인도산 향료, 향, 향유, 유향, 포도주, 올리브기름, 고운 밀가루, 밀, 소, 양, 말, 수레, 노예, 사람의 목숨이다"
